Countries,Alliance
United States,Ally
United Kingdom,Ally
France,Ally
Italy,Ally
Canada,Ally
Netherlands,Ally
Belgium,Ally
Portugal,Ally
Denmark,Ally
Norway,Ally
Luxembourg,Ally
Iceland,Ally
Turkey,Ally
Greece,Ally
Germany,Ally
Spain,Ally
Poland,Ally
Czech Republic,Ally
Hungary,Ally
Romania,Ally
Bulgaria,Ally
Slovakia,Ally
Lithuania,Ally
Slovenia,Ally
Latvia,Ally
Estonia,Ally
Croatia,Ally
Albania,Ally
Montenegro,Ally
North Macedonia,Ally
Afghanistan,Enemy
Belarus,Enemy
China,Enemy
Cuba,Enemy
Eritrea,Enemy
Iran,Enemy
Mali,Enemy
Myanmar,Enemy
Nicaragua,Enemy
Niger,Enemy
North Koreaÿ,Enemy
Russiaÿ,Enemy
Syriaÿ,Enemy
Venezuela,Enemy
Zimbabwe,Enemy
